niveau,genre,sentiment_global,confiance_adultes,sentiment_securite,participation_projets,liberte_expression,ecoute_et_soutien,envie_venir,relation_famille_etab,confiance_dialogue_extrait,projets_participes,lieux_expression_libre,changements_souhaites,moments_agreables,moments_desagreables,lieux_agreables,lieux_desagreables
4e,Fille,3,3,3,1,3,3,3,3,"['communication', 'dialogue']",['MUN'],['classe'],['horaires'],['récréation'],['évaluations'],['recreation'],['toilettes']
6e,Fille,2,2,3,0,2,1,2,2,['non'],[],['spe'],"['sérieux', 'arabe', 'acceptation', 'religieux', 'hijab']",[],[],['CCC'],[]
4e,Garçon,2,2,3,3,1,2,0,3,['équité'],['MUN'],[],['décharge'],['sorties à Lyautey'],['pauses méridiennes'],['salle'],['médiathèque']
6e,Garçon,2,2,3,0,2,3,2,2,['prévisibilité'],[],['profs'],"['devoirs', 'cours']",['profs de bonne humeur'],"['évaluations', 'évaluations surprises']",['foyer'],[]
5e,Fille,2,1,1,2,1,1,1,2,[],['MUN'],[],['téléphones'],"['amis', 'copies']","['évaluations', 'DS Commun']",['cours'],['permanence']
4e,Garçon,0,0,0,1,0,0,0,0,['respect'],['art et culture'],['non'],[],[],[],[],[]
6e,Fille,2,2,3,0,1,1,2,2,"['humour', 'jeu']",[],[],"['fontaines', 'sorties', 'climatisation', 'foot']",['activités'],"['arrogances', 'bêtises']",['terrain'],['cours']
4e,Fille,2,1,2,0,1,1,0,2,[],[],[],[],['récréation'],['cours'],['récréation'],"['vie scolaire', 'salles']"
4e,Garçon,2,2,2,2,1,1,0,0,['écoute'],[],['non'],"['clim', 'horaires', 'téléphone']",[],[],[],[]
5e,Garçon,2,2,2,1,2,1,1,2,"['discussion', 'confiance']",[],['non'],"['vitesse', 'sortie', 'service', 'retard']",['projets'],['évaluations'],"['espace', 'CCC']",['salles']
6e,Garçon,2,3,3,2,2,1,2,3,"['calme', 'douceur']",['sport'],[],['horaire'],['jouer au foot'],['rend les évals'],['salle'],[]
5e,Garçon,0,0,0,0,0,0,0,0,['communication'],[],['non'],['profs'],['amis'],['évaluations'],['médiathèque'],['cour']
4e,Fille,2,2,2,1,1,1,1,2,['non'],"[""vie de l'établissement""]",['non'],['non'],['cours agréables'],"['pression', 'manque de respect']",['CCC'],[]
4e,Fille,2,1,3,2,1,1,2,3,"['écoute', 'compréhension']","[""vie de l'établissement"", 'environnement et solidarité']",['cours'],['extérieur'],"['amis', 'certains cours']","['certains cours', 'fin de la journée']","['cours', 'médiathèque', 'permanence']",[]
5e,Fille,3,2,3,1,1,1,2,3,[],"['environnement et solidarité', 'projet pédagogiques']",['classe'],"['activités', 'ateliers']","['compréhension', ""travail d'équipe""]","['malentendus', 'silence']","['cour', 'CDI']",[]
5e,Fille,2,2,2,3,2,1,1,1,"['écoute', 'empathie', 'sensibilité', 'dialogue', 'soutien']","['MUN', 'MASSMUN', 'OSUIMUN', 'THIMUN', 'FERMUN', 'MEDMUN']",[],['queue'],[],"['charge de travail', 'ne pas voir les parents']",['permanence'],[]
6e,Fille,2,2,2,0,1,2,1,2,['ton doux'],[],"['classe', 'groupe']",['robinets'],"['activités', 'chose amusantes', 'éducatifs']",[],[],['détente']
4e,Garçon,2,0,1,0,0,0,0,2,[],[],[],['permanence'],['vacances'],['cours'],['CCC'],['permance']
4e,Garçon,0,0,1,1,1,1,0,1,['non'],['environnement et solidarité'],"['classe', 'cour']",['non'],['vacances'],"[""note d'évaluation""]",['plateau'],['bureau']
5e,Fille,3,3,3,3,2,3,1,1,[],['projet pédagogiques'],['non'],['téléphone'],['récréation'],[],['ccc'],[]
6e,Garçon,2,2,2,3,1,2,2,2,[],['sport'],['classe'],['terrain'],[],[],['salle'],[]
6e,Fille,2,1,2,2,0,0,1,3,['écoute'],['MUN'],[],['climatisation'],"[""cours d'EPS""]",['cantine sous le soleil'],['plateau'],['permanences']
5e,Fille,2,1,2,3,1,2,2,2,"['souplesse', 'réduction des restrictions']",['MUN'],[],['interdiction'],"['pauses midi', 'récréation']",[],[],[]
5e,Fille,2,2,3,2,2,1,1,2,[],['MUN'],['récréation'],[],['discuter avec amies'],[],['récréation'],['salle']
6e,Fille,2,1,2,2,1,1,0,2,[],['sport'],[],"['règles', 'vestimentaire']",['récréation'],[],[],[]
4e,Fille,2,1,2,1,1,1,2,2,"['compréhension', 'dialogue']",['projet pédagogiques'],[],"['écouter', 'techniques', 'apprentissage']",['amis'],['cours'],['médiathèque'],['permanence']
4e,Garçon,3,2,2,2,1,1,2,1,"['dialogue', 'écoute']",['sport'],"['établissement', 'surveillant', 'CPE']","['activité', 'tournoi', 'foot', 'espaces', 'casiers']","['famille', 'pauses', 'amis', 'manger']",[],['médiathèque'],"['toilette', 'CCC']"
4e,Garçon,3,3,3,0,3,2,0,1,[],[],['récrée'],"['horaires', 'temps', 'activités']",['parler à ses potes'],['évaluations'],['cour'],['salle']
6e,Fille,2,2,3,2,3,2,1,2,['non'],"['art et culture', ""vie de l'établissement""]",[],"['pose', 'récréation', 'cantine', 'temps']",['pas cours'],[],['cours'],['classe']
5e,Garçon,2,0,2,0,1,0,0,0,['compréhension'],[],['non'],"['punitions', 'surveillants', 'profs']","['vacances', 'bonnes notes']",[],['terrain'],[]
5e,Fille,2,3,2,1,3,2,2,3,[],['sport'],['récréation'],['heures'],"['heure de libre', 'amies']",[],"['salle', 'récréation', 'CCC']",[]
6e,Fille,2,2,2,1,1,2,2,2,[],['art et culture'],['cour'],['étage'],['cour'],['couloirs'],"['cour', 'cantine']",[]
4e,Fille,2,3,2,2,2,3,2,2,['non'],"['MUN', 'projet pédagogiques']","['cour', 'classe']","['horaires', 'Ramadan']","['amis', 'professeurs']",['non'],"['médiathèque', 'cour']",['cantine']
6e,Garçon,3,3,3,1,3,3,3,3,[],['MUN'],['établissement'],['non'],['tournois'],['classe'],['foyer'],['permanance']
6e,Fille,3,2,3,3,2,3,2,3,['ateliers'],"[""vie de l'établissement""]",['auditorium'],"['climatisation', 'concentration']",['moments entre amis'],"['moqueries', 'jugements']",['recrée'],['cantine']
6e,Fille,2,1,2,0,2,2,2,2,[],[],['récré'],[],[],[],[],[]
4e,Garçon,2,2,3,0,1,1,1,3,[],[],[],"['chaises', 'confort', 'profs', 'strict']",['sonnerie de 16h'],[],['cour'],['classe']
4e,Garçon,1,1,2,2,1,1,1,2,['respect'],['sport'],"['cour', 'classe']","['nourriture', 'menu', 'cuisiniers', 'ingrédients', 'portions']","['heure de manger', 'heure creuse']","['cours du matin', 'avant de manger', 'dernier cours']",['cour'],[]
5e,Fille,2,2,3,2,0,1,0,1,[],['sport'],[],"['activités', 'permanence', 'foot', 'basket']",['réfectoire'],[],['cour'],[]
5e,Fille,2,1,1,0,1,1,0,2,[],[],[],['cours'],['quand je rentre chez moi'],['cours'],[],[]
5e,Fille,3,3,3,2,2,2,2,3,[],"['environnement et solidarité', 'MUN']","['classe', 'amies', 'pause']",[],[],[],[],[]
5e,Fille,2,1,1,0,1,0,0,0,['non'],[],[],['non'],['sortie'],['entrée en classe'],['extérieur'],['salle']
6e,Garçon,2,2,2,1,2,1,1,2,"['réunion', 'mise au point', 'comportement', 'harcèlement']",['art et culture'],[],['horaires'],['chez moi'],['monté au troisième étage'],['cantine'],['CPE']
5e,Fille,2,3,2,1,2,2,2,2,['gentillesse'],[],[],[],[],"['heures de CCC', 'permanence']",[],[]
5e,Garçon,2,1,2,0,1,1,3,3,[],[],[],[],[],[],[],[]
6e,Garçon,2,1,1,1,1,1,1,1,"['confiance', 'écoute']",['art et culture'],[],"['clims', 'fontaines']","[""cours d'eps"", ""cours d'arabe""]","['education musicale', 'art plastique']",['plateau'],['permanence']
4e,Garçon,2,1,2,3,1,1,2,1,['non'],['sport'],[],[],"['pauses', 'récréations']","['cours', 'professeurs fatigués', 'punition']","['récré', 'tarrain']",['permanence']
5e,Garçon,2,1,1,2,2,1,0,3,"['écoute', 'confiance']",['sport'],['partout'],"['banc', 'ombre']",['fin du dernier cours'],[],[],['escalier']
6e,Fille,1,1,1,2,1,0,0,1,[],"['MUN', 'art et culture']",[],[],['chez moi'],[],[],['école']
6e,Garçon,2,2,2,1,2,2,1,1,['non'],['sport'],[],"['préau', 'cour']",['manger'],['cour'],['préau'],[]
5e,Garçon,2,1,2,2,2,1,2,2,"['comportement', 'respect']",['sport'],[],['cantine'],"['foot', 'amis']","['rien', 'participe']",[],[]
4e,Fille,3,2,3,2,0,0,2,3,"['compréhensifs', 'écoute']","['sport', 'art et culture']",['non'],"['cours', 'horaire']","['amis', 'cours avec professeurs gentils']",['cours avec professeurs agressifs'],"['cour', 'terrain']",['salle']
4e,Fille,2,2,2,2,1,2,2,2,['compréhension'],"[""vie de l'établissement""]",['non'],"['charge', 'heures']",['activités'],['DS commun'],['cour'],[]
5e,Fille,2,0,1,2,1,2,0,2,[],"[""vie de l'établissement"", 'projet pédagogiques']",[],['téléphones'],"['bonne note', ""sortie de l'école""]","['mauvaises notes', '2 profs']",[],[]
4e,Garçon,2,1,2,3,1,1,2,2,"['calme', 'respect']","['MUN', 'sport']",[],"['gentillesse', 'horaires']",['pauses méridiennes'],['cours de 2 heures'],['CCC'],['cantine']
6e,Fille,2,1,2,3,2,0,1,1,"['écoute', 'temps']","['MUN', 'art et culture', ""vie de l'établissement""]",[],"['bus', 'psychologue']","['fin de journée', 'pauses méridienne']",['attendre le bus'],"['foyer', 'salle']",['salles']
5e,Fille,2,1,2,2,1,0,1,2,['punition'],['projet pédagogiques'],[],['prof'],['rigole avec mes amis'],"['punitions', 'notes']",['dehors'],['salle']
5e,Fille,2,2,3,0,2,2,2,2,['non'],[],[],['téléphone'],['cour'],['permanence'],['cour'],[]
5e,Garçon,2,1,2,2,2,1,1,2,[],"['sport', ""vie de l'établissement""]",[],"['surveillants', 'accès', 'TMS']",[],[],"['foyer', 'salle', 'CCC']",['permanences']
4e,Fille,2,2,2,2,3,3,1,1,['communication'],['projet pédagogiques'],[],[],[],[],[],[]
5e,Garçon,2,0,1,2,0,0,0,0,['non'],['sport'],[],"['bancs', 'ombre']","['Wahil', 'pas de cours']",[],['sortie'],['cour']
5e,Garçon,2,2,3,0,2,1,1,3,['indulgence'],[],[],"['bancs', 'ombre']",['récréation'],['2 heures de cours'],['récréation'],['classe']
6e,Fille,3,2,0,0,2,3,2,3,['gentillesse'],[],[],"['fontaine', 'propreté', 'climatisation']",[],[],['CCC'],['permanence']
4e,Fille,2,2,2,2,2,1,1,2,['non'],"['sport', 'MUN']",['non'],"['justice', 'harcèlement', 'respect']",['récré'],['cours'],['cours'],['cours']
6e,Garçon,2,2,3,0,1,1,1,3,"['confiance', 'écoute']",[],[],['climatisateur'],['heure creuse'],"['cour', 'chaleur', 'fontaines pas remplies']",['plateau'],['permanence']
5e,Garçon,2,1,2,0,1,1,0,3,[],[],[],"['vendredi', '15h']","['rentrer chez moi', 'pause déjeuner', 'heure creuse']",['blagues'],['maison'],['école']
6e,Garçon,2,2,3,0,2,2,1,3,[],[],"['cours', 'récréation']",['non'],[],[],['gymnase'],['class']
6e,Fille,3,2,3,2,2,3,1,3,['écoute'],['projet pédagogiques'],"['classe', 'débat']","['devoirs', 'horaires']",['amis'],['beaucoup de devoirs'],"['cour', 'salle', 'détente']",['salle']
4e,Fille,3,2,3,1,2,2,3,2,['non'],['art et culture'],[],['non'],['pause méridienne'],[],"['couloirs', 'permanences']",['cour']
6e,Fille,2,2,2,3,1,0,3,2,"['confiance', 'écoute', 'dialogue']","['art et culture', 'sport']",[],"['expression', 'écoute']",['amis'],"['révisions', 'évaluations']",['permanences'],['salles']
4e,Fille,2,2,2,3,0,0,1,1,"['respect', 'écoute', 'discussion']","['art et culture', 'MUN', 'projet pédagogiques']",[],['climatisation'],['travail de groupe'],['évaluations'],"['salle', 'cours']",['salles']
4e,Garçon,2,1,1,1,1,2,1,2,"['neutralité', 'discussion']",['sport'],[],"['poids', 'cantine']",['pause méridienne'],['évaluations'],"['recréation', 'cantine', 'permanence']",['salle']
4e,Fille,2,2,2,3,1,0,2,2,[],"['environnement et solidarité', 'sport', 'projet pédagogiques', 'art et culture', 'sport', 'art et culture', 'sport', 'projet pédagogiques']",[],"['fontaines', 'événements']","['activités collectives', 'loisirs', 'projets', 'évènements']","['cantine', ""fontaines d'eau lentes""]",[],[]
4e,Garçon,2,1,2,1,2,2,2,2,['respect'],['environnement et solidarité'],['non'],"['pause', 'cours', 'proportion']","['récréation', 'camarades']","['cours trop lent', 'longues heures de travail']","['cour', 'plateau', 'salle']",[]
4e,Garçon,2,0,1,2,2,2,2,2,"['écoute', 'respect', 'dialogue', 'confiance']",['projet pédagogiques'],[],"['voyage', 'intégration']",['voyage scolaire'],[],['cour'],[]
5e,Garçon,2,2,3,2,2,2,0,2,"['respect', 'préparation', 'espaces', 'parole', 'sécurisés', 'cercles', 'discussion', 'médiateurs']",['sport'],['CPE'],"['relations', 'respect', 'activités', 'cohésion', 'motivation', 'surveillants', 'communication']","['sport', 'bonne ambiance', 'cours intéressants', 'coopération']","['élèves dissipés', 'bruyants', 'malpolis', 'climat de tension']",['terrain'],"['cours', 'Vie scolaire']"
4e,Garçon,2,2,3,1,3,1,2,2,[],[],['cour'],[],"[""fin de l'année"", 'rentrée']",[],['cours'],[]
5e,Fille,2,2,2,2,1,1,1,2,[],['sport'],['cour'],"['téléphone', 'emploi du temps', 'liberté', 'possibilités']","['pauses', 'amies']","['cours', 'permanence']","['tables', 'allée']",[]
4e,Fille,3,0,3,2,1,1,1,1,"['écoute', 'respect', 'bienveillance', 'clarté', 'échanges']","['sport', 'art et culture']",[],['horaires'],"['récréation', 'cantine', 'fin de la journée']",['certains profs'],['plateau'],"['salle', 'permanence']"
5e,Garçon,3,2,3,0,3,3,2,3,['échange'],[],"['classe', 'cour']",['horaires'],"['amis', 'cour', 'classe']","['évaluations', 'contrôles surprise']",['CCC'],['permanence']
4e,Fille,2,0,2,3,1,0,1,2,"['empathie', 'écoute']",['sport'],[],"['horaires', 'devoirs', 'évaluations']","['récré', 'fin des cours']",['cours avec certains profs'],"['plateau', 'cour']",['salle']
4e,Garçon,2,2,1,0,1,1,1,0,['respect'],[],['cours de récréation'],"['emplois', 'sociabilité']","['fêtes', 'réfectoire']","['ds commun', 'professeur en retard']","['réfectoire', 'piscine']","['piscine', 'salle']"
5e,Fille,2,2,2,3,0,1,0,2,"['écoute', 'temps']",['sport'],['non'],"['3langue', 'surveillants', 'intercourts']",['pauses'],"['heures consécutives', 'même matière']",['CCC'],['permanence']
4e,Garçon,1,3,0,1,0,1,1,3,[],['projet pédagogiques'],[],"['respect', 'téléphones']",['jouer avec des amis'],['racisme'],['extérieur'],[]
5e,Garçon,1,2,2,0,1,0,1,1,"['écoute', 'respect', 'discussion', 'confiance', 'médiation', 'classe', 'récréation']",[],[],"['couleur', 'nourriture', 'cantine']",[],[],[],[]
4e,Garçon,2,2,1,2,1,2,0,2,['respect'],['projet pédagogiques'],"['classe', 'cour']","['horaires', 'enseignants']","['amis', 'activités', 'récréation', 'pause méridienne']","['classe', 'matières', 'profs']",['cours'],['salle']
4e,Fille,2,2,2,3,1,1,1,2,"['communication', 'compréhension']","['environnement et solidarité', 'sport', 'art et culture', 'projet pédagogiques', ""vie de l'établissement""]",['non'],"['fontaine', 'attente', 'activités']","['discuter', 'rigoler', 'sport', 'finir tôt']","['plats pas bons', 'longues files à la cantine', 'pas le temps pour manger', 'longue journée', 'évaluations surprises', 'fontaine qui ne marche pas', 'escaliers bondés']","['salle', 'cantine']",[]
5e,Fille,3,2,3,3,3,2,2,3,"['respect', 'écoute', 'soutien']",['sport'],[],"['liberté', 'lieu']","['récré', 'cantine']",[],[],[]
5e,Fille,2,1,2,3,0,1,0,0,[],"['MUN', 'sport']",[],"['compréhension', 'bien-être', 'infirmière', 'confort', 'circulation', 'liberté', 'expression', 'cantine']","['permanence', 'pauses', 'activités', 'cours ludiques']",[],[],['salles']
5e,Garçon,3,2,2,2,1,1,1,2,[],['MUN'],[],['sorties'],['sortir plus tôt'],[],['foyer'],[]
6e,Garçon,2,2,1,1,1,2,1,2,['non'],"[""vie de l'établissement""]",['cours'],"['devoirs', 'évaluations']","['sorties scolaires', 'bonne note', 'cours']","['cantine', 'évaluations']","['salles', 'terrain']",[]
4e,Fille,1,0,3,0,1,0,0,0,"['calme', 'bienveillance']",[],['enquete'],['fermer'],['weekend'],['jours de la semaine'],['maison'],['école']
5e,Fille,2,2,3,2,2,2,2,3,[],[],[],[],['pose méridienne'],['matin à la première heure'],[],[]
4e,Garçon,2,2,2,2,1,2,1,2,['respect'],['projet pédagogiques'],"['classe', 'cour']","['horaires', 'concentration']","['amis', 'cour']",['surveillants'],['cour'],['salle']
5e,Garçon,1,0,0,2,1,1,1,2,['respect'],[],['cours'],['pauses'],['fin des cours'],['début des cours'],['foyer'],[]
5e,Garçon,2,1,2,2,2,1,2,1,"['enseignement', 'preuve', 'équité']",[],[],"['emplois', 'perme', 'ccc', 'aide']","['cantine', ""cours que j'aime"", 'apprentissage']","['cours trop tôt', 'cours ennuyant', 'stress', 'cours trop long']","['cantine', 'AS', 'art', 'musique', 'technologie']","['cours', 'langues', 'sciences', 'perm']"
4e,Fille,1,1,1,2,2,1,0,2,"['écoute', 'respect', 'santé']","['MUN', 'art et culture', 'sport']",['non'],"['stress', 'évaluation', 'devoirs']",['avec les personnes qui comptent'],"['stress', 'notes', 'pas bien mentalement', 'pas bien avec mes amies']",[],['cantine']
5e,Fille,2,1,3,2,1,1,0,1,"['gentillesse', 'écoute']",[],[],"['PC', 'CCC', 'déjeuner', 'cantine']",['cantine'],['cours'],"['CCC', 'allée']",[]
5e,Fille,2,3,3,2,2,2,1,2,[],['sport'],[],['climatisation'],['heures creuses'],['journées chargées'],['extérieur'],['salles']
6e,Garçon,2,3,2,0,0,2,1,2,['non'],[],['cantine'],"['devoirs', 'autorisation', 'ccc', 'salle']",['cantine'],['cours'],['récréation'],['cours']
6e,Garçon,2,3,3,1,2,2,1,3,[],['art et culture'],['classe'],"['évaluation', 'punition']","['foot', 'récréation', 'cours de français', ""cours d'histoire-géographie""]",['quand les profs crient'],['coure'],['cpe']
6e,Garçon,2,3,2,2,2,2,2,2,[],[],[],['climatisation'],['cours intéressants'],['très chaud'],[],[]
4e,Fille,2,2,2,3,0,0,1,1,"['respect', 'acceptation', 'confiance']","['MUN', 'art et culture']",[],"['climatisation', 'profs']","['heures de pause', 'récrés']","[""cours d'anglais"", 'évaluations']",['CCC'],['salles']
5e,Fille,2,1,1,1,1,1,0,2,['écoute'],['sport'],['cour'],"['vie', 'classe', 'écouté']","['cour', 'amis']","['fin de journée', 'fatigué']",['récréation'],['salles']
6e,Garçon,2,1,2,0,1,2,1,2,[],[],['CPE'],['adultes'],"['foot', 'interclasse']",['punition'],[],"['récréation', 'salles', 'bureau', 'CPE']"
6e,Fille,2,2,3,1,1,2,0,0,['non'],[],['cour'],['horaires'],[],[],['salle'],['cours']
6e,Garçon,2,1,1,2,2,1,1,1,['non'],['sport'],[],"['emploi', 'horaires', 'pause']",['récréation'],[],[],[]
5e,Fille,1,1,1,0,1,1,0,2,[],[],[],"['horaire', 'pause']",['sonnerie de fin des cours'],['sonnerie du début des cours'],['télévision'],['class']
5e,Garçon,0,1,1,0,1,0,0,0,"['compréhension', 'droits']",[],[],"['redoublement', 'punition', 'accusation']",['sortie de la classe'],"['surveillant', 'appel au bureau', 'père fâché']",['permanence'],[]
5e,Garçon,1,1,1,0,1,2,0,2,"['décision', 'écoute']",[],[],['non'],['fin des examens'],"[""trop d'examens"", 'révision intensive']","['salle', 'récrée']",['vie scolaire']
5e,Fille,2,2,3,1,1,1,1,3,['écoute'],[],[],[],[],[],[],[]
6e,Fille,2,2,3,1,1,1,2,2,['non'],['sport'],[],['horaires'],['prof absent'],['cours des profs absents'],['cours'],['salle']
6e,Garçon,1,2,1,0,1,0,1,1,['évaluation'],[],['non'],['recre'],['récréation'],['résultats des évaluations'],['recree'],['classe']
4e,Garçon,1,0,3,2,0,0,0,1,"['aide', 'compréhension']",['sport'],[],[],"[""sortie de l'école""]","[""rentrée à l'école""]",[],[]
5e,Fille,2,2,3,3,2,3,0,2,"['questions', 'compréhension', 'dialogue']",['art et culture'],"['cour', 'ombre', 'porte', 'cantine']","['préau', 'escaliers', 'fraîcheur']","['rigole', 'joue', 'loisirs', 'se confie']","['problème', 'gens qui pleurent']",['préau'],['cour']
6e,Garçon,3,3,3,3,3,3,3,3,['non'],"['art et culture', 'MUN']","['classe', 'surveillants', 'CPE', 'cour']","['tournois', 'foot']",['événements'],"[""sortir de l'école""]","['CCC', 'cour', 'foyer']",['permanence']
5e,Fille,3,2,2,3,2,2,2,2,[],['sport'],"['classe', 'professeur', 'surveillant', 'cour', ""cellule d'écoute""]",['cantine'],[],[],['CCC'],['cantine']
5e,Fille,2,2,3,1,1,1,1,2,"['compréhension', 'confiance']",['MUN'],[],"['clims', 'chauffage']",[],[],['gymnase'],['cours']
6e,Garçon,1,1,1,2,1,2,1,1,['présence'],"['sport', ""vie de l'établissement""]","['classe', 'CPE']",['récréation'],"['récrée', 'heure creuse']",['bureau du CPE'],"['récrée', 'heure creuse']",['CPE']
6e,Garçon,1,2,2,2,1,1,2,2,"['surveillance', 'écoute']","['art et culture', 'sport', ""vie de l'établissement""]",[],['respect'],['heure creuse'],['moqueries'],['foyer'],['recrer']
5e,Garçon,1,2,1,0,0,1,0,2,['écoute'],[],[],"['cours', 'horaire']",['finir plus tôt'],"[""cours l'après-midi""]",['récréation'],['permanence']
5e,Garçon,2,1,1,2,1,2,1,2,[],"['MUN', 'sport']",[],"['horaires', 'choix']","['pas de devoirs', 'prof absent', 'vacances']",[],['CCC'],['grille']
6e,Garçon,2,2,2,2,2,1,0,2,[],['sport'],"['recréation', 'classe']",['climatisation'],['cours de sport'],['cours de physique-chimie'],['térains'],['sale']
6e,Garçon,3,3,3,0,0,3,3,3,['non'],[],[],['non'],"['amis', 'prof']",['non'],[],[]
4e,Garçon,2,1,1,0,1,1,1,2,"['activités', 'jeux']",[],['non'],['gestion'],['rire'],['gênants'],['grand-mère'],[]
6e,Fille,2,2,2,2,2,1,2,2,"['lettres', 'écriture']","['MUN', 'art et culture']",[],"['caméras', 'boîte']","[""cour d'anglais""]","[""cour d'EPS""]",[],[]
6e,Fille,3,2,2,0,2,3,2,3,[],[],[],"['devoirs', 'horaires']","['amis', 'rigole']",['stresse'],['CCC'],[]
6e,Fille,2,0,3,2,1,0,0,1,[],"['sport', 'art et culture']",[],"['profs', 'provoquer', 'menacer', 'rabaisser']",['récréation'],['cours'],"['CCC', 'cours']",[]
5e,Garçon,2,2,2,3,2,1,1,2,['écoute'],['sport'],['cour'],"['récréation', 'cours']","['compétition', 'retrouver amis', 'rencontrer nouvelles personnes']","['évaluation', 'incompréhension']","['plateaux', 'cours']",['salle']
5e,Garçon,2,2,2,2,0,0,0,2,"['vie de classe', 'discussion']","['sport', 'environnement et solidarité']",[],['cour'],['récréation'],['cours'],"['cour', 'cantine']",[]
5e,Fille,2,2,3,3,2,2,2,3,[],['projet pédagogiques'],[],"['programme', 'horaire']",['récré'],['7h45'],"['cour', 'ccc']",[]
6e,Fille,2,1,2,3,1,1,1,2,['compréhension'],['sport'],['cours de math'],['non'],[],"['retenue', 'devoirs']","['salle', 'foyer']",[]
5e,Garçon,2,2,0,2,1,1,1,2,['non'],['sport'],[],"['cours', 'temps', 'cantine']",[],['cours'],['cours'],[]
5e,Garçon,3,3,3,2,2,3,2,2,"['respect', 'discussion', 'écoute', 'honnêteté', 'gentillesse', 'dialogue']","['sport', 'MUN']",[],"['finir', 'temps', 'activités']","['amis', 'pauses', 'cours intéressants']","['tensions', 'disputes', 'incompris']",[],[]
4e,Fille,2,2,2,3,3,2,1,2,"['honnêteté', 'respect']",['sport'],"['cour', 'cours']",['respect'],[],[],[],['permanance']
4e,Garçon,2,1,2,1,1,1,2,2,['respect'],"[""vie de l'établissement""]","['prof', 'CPE']","['snack', 'argent', 'accès']",['projet'],['évaluations'],"['auditorium', 'terrain']",[]
4e,Fille,2,2,3,2,3,2,1,1,['respect'],"['environnement et solidarité', 'art et culture']","['délégués', 'cvc', 'phare']","['écoute', 'autonomie']","['projets', 'Got Talent', 'concert', 'pauses méridiennes', 'cours de maths', ""fin d'année""]",[],"['cour', 'auditorium']",['classes']
5e,Garçon,2,1,3,2,0,3,2,2,"['écoute', 'dialogue']",['sport'],['cour'],"['dialogue', 'confiance', 'écoute', 'respect']","['cour de récréation', 'cantine']",['salle de classe'],['cours'],[]
5e,Fille,2,1,3,2,1,1,2,2,"['respect', 'écoute']",['MUN'],['non'],"['écoute', 'tolérance', 'pression', 'respect', 'sommeil']",['rire avec amis'],['cours ennuyants'],['cour'],['salles']
5e,Fille,2,3,3,0,1,2,3,3,"['acceptation', 'jugement']",[],[],"['queue', 'sortie']","['pauses déjeuner', 'travaux de groupes', 'médiathèque']","[""queue à l'avis scolaire"", 'cours longs sans pauses']","['cour', 'allée', 'médiathèque']","['toilettes', 'cantine']"
6e,Garçon,2,2,3,1,1,2,2,3,['non'],['sport'],['classe'],"['français', 'récrées', 'compréhension', 'surveillants']","['récréations', 'pauses méridiennes', 'cours de sport']",['évaluations'],"['cantine', 'plateau', 'foyer', 'permanence']","['permanence', 'salle']"
5e,Fille,2,2,1,2,1,1,0,1,"['écoute', 'compréhension']","['sport', ""vie de l'établissement""]","['cour', 'cantine']","['horaires', 'cantine', 'évaluations', 'téléphones']",['cantine'],['évaluations'],['cours'],['sals']
6e,Fille,2,1,0,2,2,1,1,2,"['calme', 'respect', 'écoute']","['sport', 'projet pédagogiques']",[],"['horaire', 'sommeil', 'concentration']",['professeurs absents'],"['commence à 7:45', 'fatiguant']",['salle'],['classe']
5e,Garçon,3,1,2,3,0,0,0,1,['énervement'],[],['non'],"['écoutes', 'responsables', 'désagréables']",[],['tabourets'],['CCC'],[]
6e,Fille,3,3,3,0,2,2,3,3,['non'],[],"['cour', 'cantine', 'permanence']",['fontaine'],['rencontres avec ami(e)s'],['malade'],[],[]
5e,Garçon,2,2,3,0,0,0,1,1,[],[],[],[],[],[],[],[]
5e,Garçon,2,2,3,3,1,2,2,1,[],['sport'],[],"['toilettes', 'basket', 'manger']",['bon emploi du temps'],[],['terrain'],['toilettes']
6e,Fille,1,2,2,0,0,2,0,2,[],[],[],"['voyage', 'équitable']",['discuter avec mes amis'],['cours ennuyeux'],[],"['CCC', 'permanence']"
5e,Fille,1,2,1,1,1,1,1,1,"['confiance', 'dialogue', 'raisonnable']",['sport'],"['infirmerie', 'CPE', 'classe']",['stricte'],['pause déjeuner'],"['évaluation', 'stress', 'angoisse']",['plantes'],['salle']
5e,Fille,2,1,0,1,2,1,0,1,['non'],['art et culture'],['non'],['téléphone'],['absence des professeurs'],[],['cours'],[]
6e,Garçon,3,0,1,1,0,0,3,3,"['écoute', 'arguments']",['art et culture'],['non'],"['AED', 'comportement', 'élèves']","['politesse', 'camarades']",[],[],[]
6e,Fille,2,2,3,2,1,2,1,2,[],"[""vie de l'établissement""]",[],"['heures', 'colle', 'exclusion']",['heures creuses'],[],['cour'],[]
6e,Fille,3,2,2,2,0,1,1,3,"['espace', 'récréation']",['art et culture'],['cours'],['récré'],"['bonnes notes', 'activités']",['mauvaises notes'],['ccc'],['cours']
6e,Fille,1,2,2,2,1,2,2,1,[],"['art et culture', 'sport']",[],"['empathie', 'harcèlement', 'gentillesse']","['sortie', 'avec ma meilleure amie']",['rappel de poids'],"['recréation', 'cantine', 'dehors']",['école']
5e,Fille,3,2,3,3,2,3,2,2,[],['sport'],[],"['casiers', 'confort', 'organisation']",[],[],"['cour', 'CCC']",[]
